country,state,year,quarter,entity_type,district&pin,registered_users
india,andhra-pradesh,2018,Q2,pincode,518002,37593
india,andhra-pradesh,2018,Q2,pincode,516360,34544
india,andhra-pradesh,2018,Q2,pincode,530026,34126
india,andhra-pradesh,2018,Q2,pincode,520010,31871
india,andhra-pradesh,2018,Q2,pincode,524002,31134
india,andhra-pradesh,2018,Q3,district,visakhapatnam,769096
india,andhra-pradesh,2018,Q3,district,east godavari,558982
india,andhra-pradesh,2018,Q3,district,krishna,537086
india,andhra-pradesh,2018,Q3,district,guntur,518931
india,andhra-pradesh,2018,Q3,district,chittoor,515727
india,andhra-pradesh,2018,Q3,district,anantapur,405855
india,andhra-pradesh,2018,Q3,district,kurnool,394311
india,andhra-pradesh,2018,Q3,district,west godavari,349782
india,andhra-pradesh,2018,Q3,district,spsr nellore,322446
india,andhra-pradesh,2018,Q3,district,prakasam,314899
india,andhra-pradesh,2018,Q3,pincode,517501,65157
india,andhra-pradesh,2018,Q3,pincode,517507,54849
india,andhra-pradesh,2018,Q3,pincode,530016,52259
india,andhra-pradesh,2018,Q3,pincode,515001,51449
india,andhra-pradesh,2018,Q3,pincode,516001,46691
india,andhra-pradesh,2018,Q3,pincode,518002,45145
india,andhra-pradesh,2018,Q3,pincode,516360,41963
india,andhra-pradesh,2018,Q3,pincode,530026,40580
india,andhra-pradesh,2018,Q3,pincode,520010,38918
india,andhra-pradesh,2018,Q3,pincode,524002,37559
india,andhra-pradesh,2018,Q4,district,visakhapatnam,978288
india,andhra-pradesh,2018,Q4,district,east godavari,694455
india,andhra-pradesh,2018,Q4,district,krishna,682479
india,andhra-pradesh,2018,Q4,district,chittoor,665280
india,andhra-pradesh,2018,Q4,district,guntur,659552
india,andhra-pradesh,2018,Q4,district,anantapur,510892
india,andhra-pradesh,2018,Q4,district,kurnool,498582
india,andhra-pradesh,2018,Q4,district,west godavari,435668
india,andhra-pradesh,2018,Q4,district,spsr nellore,407495
india,andhra-pradesh,2018,Q4,district,prakasam,394962
india,andhra-pradesh,2018,Q4,pincode,517501,82873
india,andhra-pradesh,2018,Q4,pincode,517507,70421
india,andhra-pradesh,2018,Q4,pincode,530016,65549
india,andhra-pradesh,2018,Q4,pincode,515001,63576
india,andhra-pradesh,2018,Q4,pincode,516001,58028
india,andhra-pradesh,2018,Q4,pincode,518002,55735
india,andhra-pradesh,2018,Q4,pincode,516360,52058
india,andhra-pradesh,2018,Q4,pincode,530026,51900
india,andhra-pradesh,2018,Q4,pincode,520010,48991
india,andhra-pradesh,2018,Q4,pincode,524002,46616
india,andhra-pradesh,2019,Q1,district,visakhapatnam,1174517
india,andhra-pradesh,2019,Q1,district,east godavari,839277
india,andhra-pradesh,2019,Q1,district,krishna,833694
india,andhra-pradesh,2019,Q1,district,chittoor,812314
india,andhra-pradesh,2019,Q1,district,guntur,802394
india,andhra-pradesh,2019,Q1,district,anantapur,612162
india,andhra-pradesh,2019,Q1,district,kurnool,599422
india,andhra-pradesh,2019,Q1,district,west godavari,523372
india,andhra-pradesh,2019,Q1,district,spsr nellore,491908
india,andhra-pradesh,2019,Q1,district,prakasam,474260
india,andhra-pradesh,2019,Q1,pincode,517501,100561
india,andhra-pradesh,2019,Q1,pincode,517507,85980
india,andhra-pradesh,2019,Q1,pincode,530016,77790
india,andhra-pradesh,2019,Q1,pincode,515001,75171
india,andhra-pradesh,2019,Q1,pincode,516001,68514
india,andhra-pradesh,2019,Q1,pincode,518002,66689
india,andhra-pradesh,2019,Q1,pincode,530026,61623
india,andhra-pradesh,2019,Q1,pincode,516360,60798
india,andhra-pradesh,2019,Q1,pincode,520010,59055
india,andhra-pradesh,2019,Q1,pincode,524002,55931
india,andhra-pradesh,2019,Q2,district,visakhapatnam,1318740
india,andhra-pradesh,2019,Q2,district,krishna,952300
india,andhra-pradesh,2019,Q2,district,east godavari,945181
india,andhra-pradesh,2019,Q2,district,chittoor,925491
india,andhra-pradesh,2019,Q2,district,guntur,915256
india,andhra-pradesh,2019,Q2,district,anantapur,695114
india,andhra-pradesh,2019,Q2,district,kurnool,680118
india,andhra-pradesh,2019,Q2,district,west godavari,592185
india,andhra-pradesh,2019,Q2,district,spsr nellore,558303
india,andhra-pradesh,2019,Q2,district,prakasam,539462
india,andhra-pradesh,2019,Q2,pincode,517501,113033
india,andhra-pradesh,2019,Q2,pincode,517507,97534
india,andhra-pradesh,2019,Q2,pincode,530016,87556
india,andhra-pradesh,2019,Q2,pincode,515001,84157
india,andhra-pradesh,2019,Q2,pincode,516001,76617
india,andhra-pradesh,2019,Q2,pincode,518002,75952
india,andhra-pradesh,2019,Q2,pincode,530026,68283
india,andhra-pradesh,2019,Q2,pincode,516360,66885
india,andhra-pradesh,2019,Q2,pincode,520010,66082
india,andhra-pradesh,2019,Q2,pincode,524002,62933
india,andhra-pradesh,2019,Q3,district,visakhapatnam,1460464
india,andhra-pradesh,2019,Q3,district,krishna,1066546
india,andhra-pradesh,2019,Q3,district,east godavari,1057167
india,andhra-pradesh,2019,Q3,district,chittoor,1032733
india,andhra-pradesh,2019,Q3,district,guntur,1026418
india,andhra-pradesh,2019,Q3,district,anantapur,773656
india,andhra-pradesh,2019,Q3,district,kurnool,755024
india,andhra-pradesh,2019,Q3,district,west godavari,662102
india,andhra-pradesh,2019,Q3,district,spsr nellore,619592
india,andhra-pradesh,2019,Q3,district,prakasam,598568
india,andhra-pradesh,2019,Q3,pincode,517501,124727
india,andhra-pradesh,2019,Q3,pincode,517507,108199
india,andhra-pradesh,2019,Q3,pincode,530016,97323
india,andhra-pradesh,2019,Q3,pincode,515001,93191
india,andhra-pradesh,2019,Q3,pincode,518002,84918
india,andhra-pradesh,2019,Q3,pincode,516001,84693
india,andhra-pradesh,2019,Q3,pincode,530026,74501
india,andhra-pradesh,2019,Q3,pincode,516360,73267
india,andhra-pradesh,2019,Q3,pincode,520010,72722
india,andhra-pradesh,2019,Q3,pincode,524002,69783
india,andhra-pradesh,2019,Q4,district,visakhapatnam,1620235
india,andhra-pradesh,2019,Q4,district,krishna,1199971
india,andhra-pradesh,2019,Q4,district,east godavari,1195228
india,andhra-pradesh,2019,Q4,district,guntur,1158708
india,andhra-pradesh,2019,Q4,district,chittoor,1156351
india,andhra-pradesh,2019,Q4,district,anantapur,873033
india,andhra-pradesh,2019,Q4,district,kurnool,846885
india,andhra-pradesh,2019,Q4,district,west godavari,750078
india,andhra-pradesh,2019,Q4,district,spsr nellore,697154
india,andhra-pradesh,2019,Q4,district,prakasam,673522
india,andhra-pradesh,2019,Q4,pincode,517501,136436
india,andhra-pradesh,2019,Q4,pincode,517507,119146
india,andhra-pradesh,2019,Q4,pincode,530016,106404
india,andhra-pradesh,2019,Q4,pincode,515001,102848
india,andhra-pradesh,2019,Q4,pincode,516001,94209
india,andhra-pradesh,2019,Q4,pincode,518002,94193
india,andhra-pradesh,2019,Q4,pincode,516360,81619
india,andhra-pradesh,2019,Q4,pincode,530026,81191
india,andhra-pradesh,2019,Q4,pincode,520010,79453
india,andhra-pradesh,2019,Q4,pincode,524002,77681
india,andhra-pradesh,2020,Q1,district,visakhapatnam,1763581
india,andhra-pradesh,2020,Q1,district,krishna,1331602
india,andhra-pradesh,2020,Q1,district,east godavari,1329664
india,andhra-pradesh,2020,Q1,district,guntur,1289678
india,andhra-pradesh,2020,Q1,district,chittoor,1270907
india,andhra-pradesh,2020,Q1,district,anantapur,971850
india,andhra-pradesh,2020,Q1,district,kurnool,936293
india,andhra-pradesh,2020,Q1,district,west godavari,843835
india,andhra-pradesh,2020,Q1,district,spsr nellore,775440
india,andhra-pradesh,2020,Q1,district,prakasam,748655
india,andhra-pradesh,2020,Q1,pincode,517501,146823
india,andhra-pradesh,2020,Q1,pincode,517507,129214
india,andhra-pradesh,2020,Q1,pincode,530016,114042
india,andhra-pradesh,2020,Q1,pincode,515001,111359
india,andhra-pradesh,2020,Q1,pincode,518002,102905
india,andhra-pradesh,2020,Q1,pincode,516001,102893
india,andhra-pradesh,2020,Q1,pincode,516360,89774
india,andhra-pradesh,2020,Q1,pincode,530026,87449
india,andhra-pradesh,2020,Q1,pincode,524002,85878
india,andhra-pradesh,2020,Q1,pincode,520010,85779
india,andhra-pradesh,2020,Q2,district,visakhapatnam,1904719
india,andhra-pradesh,2020,Q2,district,east godavari,1459116
india,andhra-pradesh,2020,Q2,district,krishna,1459041
india,andhra-pradesh,2020,Q2,district,guntur,1426271
india,andhra-pradesh,2020,Q2,district,chittoor,1385916
india,andhra-pradesh,2020,Q2,district,anantapur,1076953
india,andhra-pradesh,2020,Q2,district,kurnool,1035093
